file,sheet,rows,cols
01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,166,6
01.02.2026 - Kayserispor - Comparison.xlsx,Comparison,166,4
01.02.2026 - Kayserispor - Match statistics.xlsx,Genel görüntü,45,173
01.02.2026 - Kayserispor - Oyuncu İstatistikleri (1).xlsx,Genel görüntü maç başı ortalama,35,115
01.02.2026 - Kayserispor - Oyuncu İstatistikleri.xlsx,Genel görüntü toplam,35,115
30.01.2026 - Galatasaray - Comparison.xlsx,Comparison,166,5
30.01.2026 - Galatasaray - Match statistics.xlsx,Avrupa,19,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Beraberlik,13,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Deplasman,31,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Ev sahibi,33,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Galibiyet,41,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Genel görüntü,61,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Lig,41,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Mağlubiyet,13,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Rakipler 3'lü savunma,21,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Rakipler 4'lü savunma,43,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Son 10 maç,23,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Son 3 maç,9,173
30.01.2026 - Galatasaray - Match statistics.xlsx,Son 5 maç,13,173
30.01.2026 - Galatasaray - Oyuncu İstatistikleri (1).xlsx,Sezon geneli maç başı,2,113
30.01.2026 - Galatasaray - Oyuncu İstatistikleri (1).xlsx,Sezon geneli toplam veri,2,113
30.01.2026 - Galatasaray - Oyuncu İstatistikleri.xlsx,Avrupa maç başına ort.,19,115
30.01.2026 - Galatasaray - Oyuncu İstatistikleri.xlsx,Avrupa toplam,19,115
30.01.2026 - Galatasaray - Oyuncu İstatistikleri.xlsx,Away,25,115
30.01.2026 - Galatasaray - Oyuncu İstatistikleri.xlsx,Beraberlik,20,115
30.01.2026 - Galatasaray - Oyuncu İstatistikleri.xlsx,Galibiyet,25,115
30.01.2026 - Galatasaray - Oyuncu İstatistikleri.xlsx,Genel görüntü maç başı ortalama,25,115
30.01.2026 - Galatasaray - Oyuncu İstatistikleri.xlsx,Genel görüntü toplam,25,115
30.01.2026 - Galatasaray - Oyuncu İstatistikleri.xlsx,Home,23,115
30.01.2026 - Galatasaray - Oyuncu İstatistikleri.xlsx,Lig maç başına ortalama,24,115
30.01.2026 - Galatasaray - Oyuncu İstatistikleri.xlsx,Lig toplam,24,115
30.01.2026 - Galatasaray - Oyuncu İstatistikleri.xlsx,Mağlubiyet,18,115
31.01.2026 - Turkey. Süper Lig - Match statistics.xlsx,2025-2026,344,171
31.01.2026 - Turkey. Süper Lig - Oyuncu İstatistikleri.xlsx,2025-2026 genel maç başı ort,465,116
31.01.2026 - Turkey. Süper Lig - Oyuncu İstatistikleri.xlsx,2025-2026 genel toplam,465,116
31.01.2026 - Turkey. Süper Lig - Takım istatistikleri.xlsx,2025-2026 maç başı ortalama,20,166
31.01.2026 - Turkey. Süper Lig - Takım istatistikleri.xlsx,2025-2026 toplam veriler,20,166
"Fatih Karagümrük 1-3 Galatasaray, Turkey. Süper Lig, 24.01.2026.xlsx",İstatistikler,30,108
HP_6Faz_Metrik_Harita_v1.xlsx,6Faz_Tanim,6,4
HP_6Faz_Metrik_Harita_v1.xlsx,Eslestirme,7,5
HP_6Faz_Metrik_Harita_v1.xlsx,One_Cikanlar,34,5
HP_6Faz_Metrik_Harita_v1.xlsx,Turetilmis_Metrikler,20,6
HP_Football_Atlas_v1.xlsx,Core_100_Index,100,4
HP_Football_Atlas_v1.xlsx,Learning_Paths,100,4
HP_Football_Atlas_v1.xlsx,actions_detailed,30,3
HP_Football_Atlas_v1.xlsx,advanced_analytics,23,3
HP_Football_Atlas_v1.xlsx,coaching_methodology,19,3
HP_Football_Atlas_v1.xlsx,contextual_factors,23,3
HP_Football_Atlas_v1.xlsx,defensive_concepts,22,3
HP_Football_Atlas_v1.xlsx,game_phases,12,3
HP_Football_Atlas_v1.xlsx,historical_systems,13,3
HP_Football_Atlas_v1.xlsx,match_situations,18,3
HP_Football_Atlas_v1.xlsx,metrics_extended,32,3
HP_Football_Atlas_v1.xlsx,player_attributes,34,3
HP_Football_Atlas_v1.xlsx,positions,12,3
HP_Football_Atlas_v1.xlsx,tactical_patterns,31,3
HP_Metric_Encyclopedia_v2_Enhanced-1.xlsx,1_Main_Metrics,164,15
HP_Metric_Encyclopedia_v2_Enhanced-1.xlsx,2_Formulations,164,6
HP_Metric_Encyclopedia_v2_Enhanced-1.xlsx,3_Relationships,164,11
HP_Metric_Encyclopedia_v2_Enhanced-1.xlsx,4_HP_Ontology,164,8
HP_Metric_Encyclopedia_v2_Enhanced-1.xlsx,5_Visualization,164,7
HP_Metric_Encyclopedia_v2_Enhanced-1.xlsx,6_Sources,164,6
HP_Metric_Encyclopedia_v2_Enhanced-2.xlsx,1_Main_Metrics,164,15
HP_Metric_Encyclopedia_v2_Enhanced-2.xlsx,2_Formulations,164,6
HP_Metric_Encyclopedia_v2_Enhanced-2.xlsx,3_Relationships,164,11
HP_Metric_Encyclopedia_v2_Enhanced-2.xlsx,4_HP_Ontology,164,8
HP_Metric_Encyclopedia_v2_Enhanced-2.xlsx,5_Visualization,164,7
HP_Metric_Encyclopedia_v2_Enhanced-2.xlsx,6_Sources,164,6
HP_Metric_Encyclopedia_v2_Enhanced.xlsx,1_Main_Metrics,164,15
HP_Metric_Encyclopedia_v2_Enhanced.xlsx,2_Formulations,164,6
HP_Metric_Encyclopedia_v2_Enhanced.xlsx,3_Relationships,164,11
HP_Metric_Encyclopedia_v2_Enhanced.xlsx,4_HP_Ontology,164,8
HP_Metric_Encyclopedia_v2_Enhanced.xlsx,5_Visualization,164,7
HP_Metric_Encyclopedia_v2_Enhanced.xlsx,6_Sources,164,6
HP_Motor_Math_Engineering_v1.xlsx,Correlation_Methods,5,4
HP_Motor_Math_Engineering_v1.xlsx,Feature_Recipes,8,5
HP_Motor_Math_Engineering_v1.xlsx,Inventory,28,8
HP_Motor_Math_Engineering_v1.xlsx,Metric_Dict,240,7
HP_Motor_Math_Engineering_v1.xlsx,Narrative_Map,3,4
HP_SportsBase_Governance_ve_SozlukSkeleton_v1_1.xlsx,Governance,7,2
HP_SportsBase_Governance_ve_SozlukSkeleton_v1_1.xlsx,Inventory,1,2
HP_SportsBase_Governance_ve_SozlukSkeleton_v1_1.xlsx,Metric_Skeleton,4,10
"Kayserispor 0-3 İstanbul Başakşehir FK, Turkey. Süper Lig, 24.01.2026.xlsx",İstatistikler,30,108
"Manchester City 2-0 Galatasaray, Europe. UEFA Champions League, 28.01.2026.xlsx",İstatistikler,28,108
SportsBase_MetrikSozlugu_HP_v1.xlsx,BDP_Spec,1,5
SportsBase_MetrikSozlugu_HP_v1.xlsx,Derived_HP,15,13
SportsBase_MetrikSozlugu_HP_v1.xlsx,Key_Def_Sources,12,3
SportsBase_MetrikSozlugu_HP_v1.xlsx,Metrics,164,10
SportsBase_MetrikSozlugu_HP_v1.xlsx,TopChanges_Secildi8,23,7
hp_metric_registry_sportsbase_v1_1.xlsx,Coverage_By_Phase,5,6
hp_metric_registry_sportsbase_v1_1.xlsx,Missing_Definitions,127,6
hp_metric_registry_sportsbase_v1_1.xlsx,Registry_v1_1,163,15
